id,username,created_at,lng,lat,text
1518048815374225408,marine5831,Sun Apr 24 02:06:56 +0000 2022,-118.0767455,33.9072505,@RIDEMikeCLT Will do.
1518048816292794369,Aagrusin,Sun Apr 24 02:06:56 +0000 2022,-118.48042000000001,34.022688,@M_S_Greenfield @deesnider You can write fiction but it has to be over 4000 words to be considered a novel.
1518048816825610240,VCarrasco28,Sun Apr 24 02:06:56 +0000 2022,-76.62048200000001,39.284712999999996,@VargasJrJockey Bro but not winning not even 1. Game 1 &amp; 2 were in the bank &amp; non defense got em’ beat.
1518048817932873728,StaceyRickman,Sun Apr 24 02:06:56 +0000 2022,-81.2487865,42.9488405,@MissAliZim And driveway margaritas?  Count me in! 😉
1518048818369110017,TomStar812,Sun Apr 24 02:06:56 +0000 2022,-81.447387,28.399888,@RealJayWilliams How about Kyrie AND KD
1518048818561908736,NickBagExel,Sun Apr 24 02:06:56 +0000 2022,-115.223125,36.232915,Ya remember when Paul Pierce threw his headband in the crowd and niggas threw it byke lmao
1518048818989776897,thugswim,Sun Apr 24 02:06:57 +0000 2022,-95.44648649999999,29.838495,@stickysweett1 This one will have u in a trans tho https://t.co/GU3UxY5gHO
1518048819497340932,RedTheWhiteBoy,Sun Apr 24 02:06:57 +0000 2022,-83.099288,42.3527865,3 matches and 3 wins in 7 days. Not bad.
1518048818511630336,cass_systems,Sun Apr 24 02:06:56 +0000 2022,-73.9685415,40.780709,"@HP custom server building, complete with custom design, hardware installation, and software installation for optim… https://t.co/peDkIuWa1O"
1518048819983880192,JeevanSukhi,Sun Apr 24 02:06:57 +0000 2022,-86.611411,34.7060265,@RSankante The time we jointly share spaceEnrich your followers as everyone wants moreजय जय श्रीराम हर हर महा… https://t.co/ThnUwE2Zv9
1518048818499043337,DJAngieC,Sun Apr 24 02:06:56 +0000 2022,-71.095802,42.347244,💜 @Jawbreaker killing me softly. #JetBlack https://t.co/VPGjPAJDnV
1518048820843720706,kevflix,Sun Apr 24 02:06:57 +0000 2022,-88.0782555,41.975102,I will NEVER get over this https://t.co/KPaoVnmUr3
1518048822991245315,DenisePierro_8,Sun Apr 24 02:06:58 +0000 2022,-73.9487755,40.655138,Always! So much in common! ⚾️⚾️⚾️⚾️⚾️🐘
1518048823616098304,risingsprings,Sun Apr 24 02:06:58 +0000 2022,-76.994179,39.870446,Congratulations @MattCRacing16 &amp; @RonRutherford19 on your first win with this new team @lincolnspeedway!!! Impressive run!
1518048823750414340,aschnitt53,Sun Apr 24 02:06:58 +0000 2022,-77.9313565,35.738678,In afraid the Celtics are unstoppable now that Janos is back
1518048824056373248,HellaADZ,Sun Apr 24 02:06:58 +0000 2022,-115.135165,36.0609645,@ninersyoubitch You hate to see it lol
1518048824719298562,glynnsanity5,Sun Apr 24 02:06:58 +0000 2022,-97.552161,35.4828435,okc mike reporting live from the scene of a post-tornado warning oklahoma city: the locals are pleased that kevin d… https://t.co/F3OOcJHvrm
1518048826401206273,Aliciaaann17,Sun Apr 24 02:06:58 +0000 2022,-104.8130265,39.961856,ONE MORE! ☘️🥹💚🤩@celtics #BleedGreen
1518048826535387142,TannerHedrick92,Sun Apr 24 02:06:58 +0000 2022,-86.441236,39.766555499999996,1 more! #BleedGreen
1518048826942267393,celticsry,Sun Apr 24 02:06:58 +0000 2022,-97.4451735,35.222301,where are the nets in 5 people? how y’all feeling?
1518048828867420160,Northcountyking,Sun Apr 24 02:06:59 +0000 2022,-90.251155,38.7600425,SK - Only ( Official Music Video ) https://t.co/Yo7xzPdwTq via @YouTube
1518048829517443072,MilyVanilly,Sun Apr 24 02:06:59 +0000 2022,-122.2180755,47.3923115,@therealdfg He’s an exciting player.  Pains me to say this.  Will be one to watch for baby pens.
1518048830217990144,BenDuBose,Sun Apr 24 02:06:59 +0000 2022,-95.44648649999999,29.838495,This is when it was over https://t.co/fPm3IEBJbH
1518048830737948673,kdonnelly13,Sun Apr 24 02:06:59 +0000 2022,-89.9214125,38.5571495,"@StevenTDennis Beautiful! Kitchen’s too white, but otherwise…"
1518048830683594753,markymark1124,Sun Apr 24 02:06:59 +0000 2022,-84.2801945,34.073344000000006,waiting for kyrie to apologize to boston and say how wrong he was for the reason he left... #NBAPlayoffs
1518048831476277250,billbodonavich,Sun Apr 24 02:07:00 +0000 2022,-89.5694915,44.900818,@SmellyCat2Sunny Anything dealing with Climate Change is the largest money laundering scheme in American history.
1518048832138981380,wavy_bry,Sun Apr 24 02:07:00 +0000 2022,-75.117998,40.0048655,Wow this is beautiful
1518048832226955264,slmdoge,Sun Apr 24 02:07:00 +0000 2022,-104.92209349999999,39.713563,Most excellent read indeed.
1518048832436662274,MichelleBekke11,Sun Apr 24 02:07:00 +0000 2022,-111.7375655,33.4057545,@elonmusk @BillyM2k But on to a more interesting topic let's talk about 3D printing people yay! And implanting cons… https://t.co/Z6MiYyo5oe
